Date,Area,People Tested,Positive Cases,% Positive,,,,,,,,,
16/05/2021,Total,61751,116,0.19%,,,,,,,,,
17/05/2021,Total,51740,98,0.19%,,,,,,,,,
18/05/2021,Total,40404,92,0.23%,,,,,,,,,
19/05/2021,Total,39297,66,0.17%,,,,,,,,,
20/05/2021,Total,44713,44,0.10%,,,,,,,,,
21/05/2021,Total,73845,85,0.12%,,,,,,,,,
22/05/2021,Total,56558,63,0.11%,,,,,,,,,
23/05/2021,Total,55127,45,0.08%,,,,,,,,,
24/05/2021,Total,46073,59,0.13%,,,,,,,,,
25/05/2021,Total,38312,45,0.12%,,,,,,,,,
26/05/2021,Total,36222,33,0.09%,,,,,,,,,
27/05/2021,Total,40110,48,0.12%,,,,,,,,,
28/05/2021,Total,55916,28,0.05%,,,,,,,,,
29/05/2021,Total,51692,38,0.07%,,,,,,,,,
30/05/2021,Total,41946,24,0.06%,,,,,,,,,
31/05/2021,Total,40690,30,0.07%,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
